Sno.,Purchase Id,Invoice No,Pur.Date,Supplier,Barcode,Category,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
55,134,0,19/04/2023,Sai Book House,DOMS,Stationary,Erasers-DOMS,0,INC-TAX,5,0,White,275,275,45,0,0,11785.72,589.28,12375,60,60
56,134,0,19/04/2023,Sai Book House,FVLN,Stationary,Fevicol,0,INC-TAX,18,0,White,770,770,51,0,0,33279.66,5990.34,39270,60,60
57,134,0,19/04/2023,Sai Book House,WCN,Stationary,Water Colors,0,INC-TAX,18,0,White,495,495,17,0,0,7131.36,1283.64,8415,20,20
58,134,0,19/04/2023,Sai Book House,CYSN,Stationary,Crayons,0,INC-TAX,12,0,White,770,770,45,0,0,30937.5,3712.5,34650,60,60
59,134,0,19/04/2023,Sai Book House,OFN,Stationary,Office Files,0,INC-TAX,18,0,White,770,770,21,0,0,13703.38,2466.62,16170,30,30
60,134,0,19/04/2023,Sai Book House,BCY,Stationary,Book covers Yellow,0,INC-TAX,18,0,Yellow,2620,2620,3.28,0,0,7282.7,1310.9,8593.6,6,6
61,134,0,19/04/2023,Sai Book House,BCO,Stationary,Book covers Orange,0,INC-TAX,18,0,Orange,1800,1800,3.28,0,0,5003.38,900.62,5904,6,6
62,134,0,19/04/2023,Sai Book House,BCG,Stationary,Book covers Green,0,INC-TAX,18,0,Green,1150,1150,3.28,0,0,3196.6,575.4,3772,6,6
63,134,0,19/04/2023,Sai Book House,BCP,Stationary,Book covers Pink,0,INC-TAX,18,0,Pink,1150,1150,3.28,0,0,3196.6,575.4,3772,6,6
64,134,0,19/04/2023,Sai Book House,BCT,Stationary,Book covers Transprant,0,INC-TAX,18,0,White,1590,1590,3.28,0,0,4419.66,795.54,5215.2,6,6
65,134,0,19/04/2023,Sai Book House,BCPL,Stationary,Book covers Purple,0,INC-TAX,18,0,Purple,1550,1550,3.28,0,0,4308.48,775.52,5084,6,6
66,134,0,19/04/2023,Sai Book House,BCB,Stationary,Book covers Blue,0,INC-TAX,18,0,Blue,600,600,3.28,0,0,1667.8,300.2,1968,6,6
67,134,0,19/04/2023,Sai Book House,BCBN,Stationary,Book covers Brown,0,INC-TAX,18,0,Brown,13365,13365,3.28,0,0,37150.16,6687.04,43837.2,6,6
68,134,0,19/04/2023,Sai Book House,DRW60,Stationary,Drawing 60PGS,0,INC-TAX,12,0,White,861,861,39,0,0,29981.24,3597.76,33579,65,65
69,134,0,19/04/2023,Sai Book House,DOMSPP,Stationary,Paper pencil -DOMS,0,INC-TAX,5,0,White,800,800,37.5,0,0,28571.42,1428.58,30000,50,50
70,134,0,19/04/2023,Sai Book House,RBR100,Stationary,Regualr Broad ruled 100,0,INC-TAX,12,100,White,800,800,15,0,0,10714.28,1285.72,12000,25,25
71,134,0,19/04/2023,Sai Book House,RBR100,Stationary,Regualr Broad ruled 100,0,INC-TAX,12,100,White,800,800,15,0,0,10714.28,1285.72,12000,25,25
72,135,0,24/04/2023,Shree Digital,SHBP,Stationary,Student Hand book Primary,0,Non GST,0,0,White,900,900,100,0,0,0,0,90000,100,100
73,136,0,24/04/2023,Super smart choice Pvt Ltd,SSCP,Stationary,Super smart card Primary,0,INC-TAX,18,0,White,870,870,1500,0,0,1105932.2,199067.8,1305000,1770,1770
74,137,0,25/04/2023,NIRMALA ENTERPRISES,A4250,Stationary,A4 250,0,EX-TAX,12,0,White,800,800,104.91,0,0,83928,10071.36,93999.36,130,130
75,139,3376,26/04/2023,Sai Book House,VST1N,Stationary,Vyasa Sundara Telugu-1 New,0,Non GST,0,1,White,140,140,89.4,0,0,0,0,12516,149,149
76,139,3376,26/04/2023,Sai Book House,MAT6,Stationary,Mathematics 6,NCERT,Non GST,0,6,White,182,182,65,0,0,11830,0,11830,65,65
77,139,3376,26/04/2023,Sai Book House,MAT7,Stationary,Mathematics 7,NCERT,Non GST,0,7,White,100,100,65,0,0,6500,0,6500,65,65
78,139,3376,26/04/2023,Sai Book House,SPRS9,Stationary,SPARSH 9,NCERT,Non GST,0,9,White,28,28,50,0,0,1400,0,1400,50,50
79,139,3376,26/04/2023,Sai Book House,SANC9,Stationary,SANCHYAN 9,NCERT,Non GST,0,9,White,28,28,30,0,0,840,0,840,30,30
80,139,3376,26/04/2023,Sai Book House,BCB,Stationary,Book covers Blue,0,Non GST,0,0,Blue,600,600,3.28,0,0,1968,0,1968,6,6
81,139,3376,26/04/2023,Sai Book House,CRN140,Stationary,Crown 140 PGS,0,Non GST,0,140,White,560,560,33,0,0,18480,0,18480,55,55
82,139,3376,26/04/2023,Sai Book House,RSNB200,Stationary,Regular Short Note book 200,0,Non GST,0,200,White,350,350,18.75,0,0,6562.5,0,6562.5,35,35
83,139,3376,26/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
84,139,3376,26/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
85,139,3376,26/04/2023,Sai Book House,PC3,Stationary,Primary Comprehension (3),Cambridge,Non GST,0,3,White,120,120,260,30,78,21840,0,21840,260,260
86,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK1,Stationary,CROCK 1,0,INC-TAX,12,1,White,10,10,220,0,0,1964.28,235.72,2200,339,339
87,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK13,Stationary,CROCK 13,0,INC-TAX,12,13,White,12,12,220,0,0,2357.14,282.86,2640,339,339
88,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK12,Stationary,CROCK 12,0,INC-TAX,12,12,White,10,10,220,0,0,1964.28,235.72,2200,339,339
89,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK11,Stationary,CROCK 11,0,INC-TAX,12,11,White,10,10,220,0,0,1964.28,235.72,2200,339,339
90,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK10,Stationary,CROCK 10,0,INC-TAX,12,10,White,10,10,200,0,0,1785.72,214.28,2000,309,309
91,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK9,Stationary,CROCK 09,0,INC-TAX,12,9,White,10,10,200,0,0,1785.72,214.28,2000,309,309
92,138,LBH/0096,27/04/2023,LUCKY BOOT HOUSE,CRCK8,Stationary,CROCK 08,0,INC-TAX,12,8,White,10,10,200,0,0,1785.72,214.28,2000,309,309
